census_block_group,poi_id,state_fips,county_fips,tract,block_group,poi_name,travel_time_minutes,avg_travel_speed_kmh,avg_travel_speed_mph,travel_distance_km,travel_distance_miles,statefp,countyfp,tractce,blkgrpce,affgeoid,namelsad,lsad,aland,awater,total_population,median_household_income
371830531113,3,37,37183,053111,3,Fuquay-Varina Community Library,15,50,31,7.9799959817662645,4.9585380831860855,37,183,53111,3,1500000US371830531113,Block Group 3,BG,5204545,4509,1447.0,75288.0
371830531121,3,37,37183,053112,1,Fuquay-Varina Community Library,15,50,31,1.0353698486584864,0.6433487982307723,37,183,53112,1,1500000US371830531121,Block Group 1,BG,2977057,12626,1793.0,58266.0
371830531122,3,37,37183,053112,2,Fuquay-Varina Community Library,15,50,31,3.4135278344428848,2.1210672040156098,37,183,53112,2,1500000US371830531122,Block Group 2,BG,5591483,0,1434.0,93924.0
371830531123,3,37,37183,053112,3,Fuquay-Varina Community Library,15,50,31,1.727081194416349,1.0731581688556813,37,183,53112,3,1500000US371830531123,Block Group 3,BG,5141618,0,2486.0,89293.0
371830531131,3,37,37183,053113,1,Fuquay-Varina Community Library,15,50,31,4.163966160087924,2.5873678168599934,37,183,53113,1,1500000US371830531131,Block Group 1,BG,2270640,0,889.0,82784.0
371830531132,3,37,37183,053113,2,Fuquay-Varina Community Library,15,50,31,2.4079277893525153,1.4962164983977617,37,183,53113,2,1500000US371830531132,Block Group 2,BG,1232136,0,1427.0,83365.0
371830531133,3,37,37183,053113,3,Fuquay-Varina Community Library,15,50,31,4.950702837791204,3.0762231730211584,37,183,53113,3,1500000US371830531133,Block Group 3,BG,4896213,24169,554.0,74250.0
371830531134,3,37,37183,053113,4,Fuquay-Varina Community Library,15,50,31,3.1787788173315987,1.9752009725041528,37,183,53113,4,1500000US371830531134,Block Group 4,BG,1503803,0,1905.0,67045.0
371830531141,3,37,37183,053114,1,Fuquay-Varina Community Library,15,50,31,5.423737165964518,3.3701529865525384,37,183,53114,1,1500000US371830531141,Block Group 1,BG,2472729,36766,742.0,-666666666.0
371830531142,3,37,37183,053114,2,Fuquay-Varina Community Library,15,50,31,1.6441254302961288,1.0216118627485358,37,183,53114,2,1500000US371830531142,Block Group 2,BG,1148334,43181,1114.0,75341.0
371830531143,3,37,37183,053114,3,Fuquay-Varina Community Library,15,50,31,3.8282600032209695,2.3787697464614173,37,183,53114,3,1500000US371830531143,Block Group 3,BG,6397634,110881,2772.0,111765.0
371830531144,3,37,37183,053114,4,Fuquay-Varina Community Library,15,50,31,3.6005675915210076,2.237288284911,37,183,53114,4,1500000US371830531144,Block Group 4,BG,4740274,23431,750.0,80675.0
371830531145,3,37,37183,053114,5,Fuquay-Varina Community Library,15,50,31,1.7474316916314434,1.0858033776607217,37,183,53114,5,1500000US371830531145,Block Group 5,BG,3205790,0,2006.0,61427.0
371830531151,3,37,37183,053115,1,Fuquay-Varina Community Library,15,50,31,7.869475505144325,4.889863864107035,37,183,53115,1,1500000US371830531151,Block Group 1,BG,5011950,0,846.0,-666666666.0
371830531152,3,37,37183,053115,2,Fuquay-Varina Community Library,15,50,31,6.287931818897573,3.907138482240204,37,183,53115,2,1500000US371830531152,Block Group 2,BG,5521925,39308,607.0,33942.0
371830531153,3,37,37183,053115,3,Fuquay-Varina Community Library,15,50,31,8.292200264499531,5.152532770552338,37,183,53115,3,1500000US371830531153,Block Group 3,BG,5706750,13961,793.0,173833.0
371830532021,3,37,37183,053202,1,Fuquay-Varina Community Library,15,50,31,7.753494088022911,4.817796374968884,37,183,53202,1,1500000US371830532021,Block Group 1,BG,3053769,3459,3653.0,104200.0
371830532022,3,37,37183,053202,2,Fuquay-Varina Community Library,15,50,31,6.737119868108018,4.186250909566147,37,183,53202,2,1500000US371830532022,Block Group 2,BG,4046247,416127,2039.0,160179.0
371830532031,3,37,37183,053203,1,Fuquay-Varina Community Library,15,50,31,10.25533080307236,6.372365156435875,37,183,53203,1,1500000US371830532031,Block Group 1,BG,4467771,19014,5343.0,132786.0
371830532032,3,37,37183,053203,2,Fuquay-Varina Community Library,15,50,31,9.302640866999885,5.780391258168586,37,183,53203,2,1500000US371830532032,Block Group 2,BG,3098635,0,3793.0,125090.0
371830532041,3,37,37183,053204,1,Fuquay-Varina Community Library,15,50,31,8.675493077073082,5.390699808793978,37,183,53204,1,1500000US371830532041,Block Group 1,BG,2294743,0,2914.0,76776.0
371830532042,3,37,37183,053204,2,Fuquay-Varina Community Library,15,50,31,8.011228413136227,4.97794501029887,37,183,53204,2,1500000US371830532042,Block Group 2,BG,1515088,0,2755.0,88616.0
371830532051,3,37,37183,053205,1,Fuquay-Varina Community Library,15,50,31,4.703082370117681,2.9223589954023934,37,183,53205,1,1500000US371830532051,Block Group 1,BG,4981696,129653,3317.0,134423.0
371830532052,3,37,37183,053205,2,Fuquay-Varina Community Library,15,50,31,6.52573718670403,4.0549038414394705,37,183,53205,2,1500000US371830532052,Block Group 2,BG,3260521,238156,1972.0,95893.0
371830532061,3,37,37183,053206,1,Fuquay-Varina Community Library,15,50,31,3.8303799075339175,2.380086993524258,37,183,53206,1,1500000US371830532061,Block Group 1,BG,2648074,59760,1550.0,69352.0
