census_block_group,poi_id,state_fips,county_fips,tract,block_group,poi_name,travel_time_minutes,avg_travel_speed_kmh,avg_travel_speed_mph,travel_distance_km,travel_distance_miles,statefp,countyfp,tractce,blkgrpce,affgeoid,namelsad,lsad,aland,awater,total_population,median_household_income,median_age
530330061003,custom_0,53,53033,006100,3,Seattle Central Library,15,50,31,2.1091431384320525,1.310560381070663,53,33,6100,3,1500000US530330061003,Block Group 3,BG,114252,59237,635.0,130476.0,35.7
530330061004,custom_0,53,53033,006100,4,Seattle Central Library,15,50,31,1.6988798481376588,1.0556346701171453,53,33,6100,4,1500000US530330061004,Block Group 4,BG,154162,139673,1066.0,142841.0,34.4
530330061005,custom_0,53,53033,006100,5,Seattle Central Library,15,50,31,2.417262708790474,1.5020169466238456,53,33,6100,5,1500000US530330061005,Block Group 5,BG,210152,191100,1259.0,94833.0,42.1
530330062001,custom_0,53,53033,006200,1,Seattle Central Library,15,50,31,2.7370061314341023,1.7006962368953396,53,33,6200,1,1500000US530330062001,Block Group 1,BG,1266045,164109,1403.0,228125.0,43.4
530330062002,custom_0,53,53033,006200,2,Seattle Central Library,15,50,31,2.222934931712711,1.3812673014532588,53,33,6200,2,1500000US530330062002,Block Group 2,BG,564478,75247,1793.0,160288.0,43.3
530330062003,custom_0,53,53033,006200,3,Seattle Central Library,15,50,31,1.9131245891522883,1.1887601390861466,53,33,6200,3,1500000US530330062003,Block Group 3,BG,606903,0,1070.0,250001.0,48.6
530330063001,custom_0,53,53033,006300,1,Seattle Central Library,15,50,31,3.2878872026877413,2.0429977590212847,53,33,6300,1,1500000US530330063001,Block Group 1,BG,417976,358475,1907.0,220625.0,37.3
530330063002,custom_0,53,53033,006300,2,Seattle Central Library,15,50,31,2.8505432855310104,1.7712449318736896,53,33,6300,2,1500000US530330063002,Block Group 2,BG,1424479,49429,1110.0,-666666666.0,50.2
530330063004,custom_0,53,53033,006300,4,Seattle Central Library,15,50,31,3.833046782417481,2.3817441122375325,53,33,6300,4,1500000US530330063004,Block Group 4,BG,555263,1650325,1377.0,167143.0,39.7
530330064001,custom_0,53,53033,006400,1,Seattle Central Library,15,50,31,1.8038818916897101,1.120879894921127,53,33,6400,1,1500000US530330064001,Block Group 1,BG,300711,0,1118.0,153929.0,31.7
530330064002,custom_0,53,53033,006400,2,Seattle Central Library,15,50,31,1.1928326812336745,0.7411916359708496,53,33,6400,2,1500000US530330064002,Block Group 2,BG,232532,0,1123.0,195313.0,46.4
530330064003,custom_0,53,53033,006400,3,Seattle Central Library,15,50,31,1.4688938476236797,0.9127280389917735,53,33,6400,3,1500000US530330064003,Block Group 3,BG,370406,0,1391.0,161389.0,46.7
530330065001,custom_0,53,53033,006500,1,Seattle Central Library,15,50,31,1.485653301900825,0.9231418778554175,53,33,6500,1,1500000US530330065001,Block Group 1,BG,715845,0,1530.0,161426.0,37.8
530330065002,custom_0,53,53033,006500,2,Seattle Central Library,15,50,31,0.7170319766852223,0.4455428763848733,53,33,6500,2,1500000US530330065002,Block Group 2,BG,259055,0,1555.0,105435.0,34.9
530330065003,custom_0,53,53033,006500,3,Seattle Central Library,15,50,31,0.7083917802024744,0.44017410885619174,53,33,6500,3,1500000US530330065003,Block Group 3,BG,172719,0,1730.0,127083.0,38.3
530330066001,custom_0,53,53033,006600,1,Seattle Central Library,15,50,31,1.4848379735548718,0.9226352564657643,53,33,6600,1,1500000US530330066001,Block Group 1,BG,541906,637329,742.0,103676.0,32.1
530330066002,custom_0,53,53033,006600,2,Seattle Central Library,15,50,31,2.0985506804820555,1.3039785348818154,53,33,6600,2,1500000US530330066002,Block Group 2,BG,189817,193810,2239.0,139101.0,30.3
530330066003,custom_0,53,53033,006600,3,Seattle Central Library,15,50,31,1.2460434026795797,0.7742552351664131,53,33,6600,3,1500000US530330066003,Block Group 3,BG,385386,0,1353.0,130781.0,30.0
530330067011,custom_0,53,53033,006701,1,Seattle Central Library,15,50,31,1.9624670455616693,1.2194201105677,53,33,6701,1,1500000US530330067011,Block Group 1,BG,49222,0,931.0,180172.0,31.0
530330067012,custom_0,53,53033,006701,2,Seattle Central Library,15,50,31,1.7794858562286857,1.1057209059706747,53,33,6701,2,1500000US530330067012,Block Group 2,BG,136921,53976,1390.0,181127.0,28.6
530330067013,custom_0,53,53033,006701,3,Seattle Central Library,15,50,31,2.226576346394375,1.3835299709354192,53,33,6701,3,1500000US530330067013,Block Group 3,BG,194113,51465,1090.0,107375.0,27.4
530330067021,custom_0,53,53033,006702,1,Seattle Central Library,15,50,31,2.2355083972364795,1.3890800882992285,53,33,6702,1,1500000US530330067021,Block Group 1,BG,122349,0,1049.0,70927.0,37.3
530330067022,custom_0,53,53033,006702,2,Seattle Central Library,15,50,31,1.685130488713324,1.0470912169022868,53,33,6702,2,1500000US530330067022,Block Group 2,BG,63911,0,906.0,179743.0,31.4
530330067023,custom_0,53,53033,006702,3,Seattle Central Library,15,50,31,1.9945841408826577,1.239376742204398,53,33,6702,3,1500000US530330067023,Block Group 3,BG,118488,0,967.0,114553.0,28.9
530330067031,custom_0,53,53033,006703,1,Seattle Central Library,15,50,31,2.7578290133634287,1.7136349718626471,53,33,6703,1,1500000US530330067031,Block Group 1,BG,268738,0,862.0,94796.0,43.9
530330067032,custom_0,53,53033,006703,2,Seattle Central Library,15,50,31,2.3937899874250066,1.4874316782762638,53,33,6703,2,1500000US530330067032,Block Group 2,BG,173678,0,1048.0,110532.0,32.9
530330067033,custom_0,53,53033,006703,3,Seattle Central Library,15,50,31,2.3726958455250875,1.4743243902297691,53,33,6703,3,1500000US530330067033,Block Group 3,BG,154717,0,1175.0,95525.0,46.6
530330068001,custom_0,53,53033,006800,1,Seattle Central Library,15,50,31,3.0202234160959907,1.8766792442829818,53,33,6800,1,1500000US530330068001,Block Group 1,BG,258681,0,1334.0,156528.0,29.2
530330068002,custom_0,53,53033,006800,2,Seattle Central Library,15,50,31,3.147340427230735,1.955666068608789,53,33,6800,2,1500000US530330068002,Block Group 2,BG,214799,0,961.0,125089.0,36.0
530330068003,custom_0,53,53033,006800,3,Seattle Central Library,15,50,31,3.4565328374606628,2.1477892657457693,53,33,6800,3,1500000US530330068003,Block Group 3,BG,244626,0,1012.0,198313.0,48.6
530330069001,custom_0,53,53033,006900,1,Seattle Central Library,15,50,31,3.47617626365511,2.1599951211236394,53,33,6900,1,1500000US530330069001,Block Group 1,BG,244412,0,1397.0,122857.0,36.2
530330069002,custom_0,53,53033,006900,2,Seattle Central Library,15,50,31,3.847559641380221,2.390761981924069,53,33,6900,2,1500000US530330069002,Block Group 2,BG,318530,0,1977.0,232768.0,34.0
530330069003,custom_0,53,53033,006900,3,Seattle Central Library,15,50,31,3.5936838333501226,2.233010917212599,53,33,6900,3,1500000US530330069003,Block Group 3,BG,342179,0,1524.0,127635.0,43.6
530330070011,custom_0,53,53033,007001,1,Seattle Central Library,15,50,31,3.14908192688479,1.9567481859903288,53,33,7001,1,1500000US530330070011,Block Group 1,BG,214028,0,1725.0,-666666666.0,51.8
530330070012,custom_0,53,53033,007001,2,Seattle Central Library,15,50,31,3.1574477181797858,1.9619464460930918,53,33,7001,2,1500000US530330070012,Block Group 2,BG,69182,0,910.0,62795.0,37.8
530330070013,custom_0,53,53033,007001,3,Seattle Central Library,15,50,31,2.9241200304099007,1.8169633874158304,53,33,7001,3,1500000US530330070013,Block Group 3,BG,75071,0,989.0,51519.0,38.0
