name,latitude,longitude,type,address,city,subtype
Sprouts Farmers Market,38.973231,-94.7730027,small_grocer,"Maurer Road, Lenexa, KS 66219",Lenexa,supermarket
Price Chopper,38.722089,-94.8308437,small_grocer,", , KS",,supermarket
Yi's Oriental Market,39.1765295,-96.5731909,small_grocer,"Colorado Street, Manhattan, KS 66502",Manhattan,supermarket
Bailey's Food Bin,38.5226513,-98.5341132,small_grocer,", , KS",,supermarket
Rick's Food Store,38.5287014,-99.3092454,small_grocer,"Main Street, La Crosse, KS 67548",La Crosse,supermarket
Burdett Market,38.1893345,-99.524856,small_grocer,", , KS",,supermarket
Price Chopper,38.975177,-94.5960769,small_grocer,", , KS",,supermarket
Thriftway Foodmart,39.8192599,-97.6304152,small_grocer,", , KS",,supermarket
Hy-Vee,38.8523606,-94.7591621,small_grocer,"West 151st Street, Olathe, KS 66062",Olathe,supermarket
Syracuse Food Center,37.979479,-101.7498863,small_grocer,", , KS",,supermarket
Chetopa Foods,37.0362108,-95.0874142,small_grocer,", , KS",,supermarket
Dillons,37.6465424,-98.7275919,small_grocer,"East 1st Street, Pratt, KS 67124",Pratt,supermarket
Hen House Market,39.002714,-94.6308738,small_grocer,", , KS",,supermarket
Dillons,39.2679466,-94.9200369,small_grocer,"Eisenhower Road, Leavenworth, KS 66048",Leavenworth,supermarket
Aldi,39.2682028,-94.9008959,small_grocer,"North Main Street, Lansing, KS 66043",Lansing,supermarket
Price Chopper,39.295574,-94.9070979,small_grocer,", , KS",,supermarket
Price Chopper,38.9438063,-94.6054342,small_grocer,"West 103rd Street, Kansas City, KS 64114",Kansas City,supermarket
Price Chopper,38.9579879,-94.6285348,small_grocer,", , KS",,supermarket
Fareway,38.9852809,-94.6058215,small_grocer,", , KS",,supermarket
Hy-Vee,38.9901559,-94.6098558,small_grocer,"State Line Road, Prairie Village, KS 66208",Prairie Village,supermarket
Aldi,39.2570792,-94.650478,small_grocer,"North Ambassador Drive, Kansas City, KS 64154",Kansas City,supermarket
Supermart El Torito,39.1043501,-94.6455065,small_grocer,"Central Avenue, Kansas City, KS 66102",Kansas City,supermarket
Girad's,39.4374158,-98.6943515,small_grocer,", , KS",,supermarket
Downs Super Food,39.5006224,-98.5441056,small_grocer,", Downs, KS 67437",Downs,supermarket
ALDI,39.0405238,-94.6389511,small_grocer,"Roe Lane, Roeland Park, KS 66205",Roeland Park,supermarket
Dillons,38.3834058,-97.6656886,small_grocer,"North Main Street, McPherson, KS 67460",McPherson,supermarket
Chapman Food Mart,38.9806471,-97.0204943,small_grocer,"Irish Drive, Chapman, KS 67431",Chapman,supermarket
